epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,6376.29,1.00346,0.80344,2.23263,0.90575,0.78969,0.87366,0.63583,1.05548,0.70081,2.35899,0.000424556,0.000424556,0.000424556
73,6467.48,0.98681,0.78434,2.19991,0.90509,0.79849,0.87687,0.63958,1.04437,0.69323,2.33716,0.000410409,0.000410409,0.000410409
74,6558.07,0.98379,0.78631,2.20144,0.89674,0.80012,0.87489,0.63833,1.0536,0.69987,2.33487,0.000396262,0.000396262,0.000396262
75,6648.16,0.99519,0.7953,2.20963,0.92424,0.78809,0.8786,0.64161,1.04836,0.69066,2.3322,0.000382115,0.000382115,0.000382115
76,6738.37,0.97901,0.78041,2.20238,0.90932,0.80207,0.87804,0.64002,1.04665,0.69679,2.3335,0.000367967,0.000367967,0.000367967
77,6830.55,0.96959,0.76722,2.18554,0.93253,0.78229,0.87946,0.63943,1.04869,0.69371,2.33507,0.00035382,0.00035382,0.00035382
78,6920.65,0.97411,0.77418,2.20757,0.89934,0.80749,0.87836,0.64026,1.04146,0.69269,2.324,0.000339673,0.000339673,0.000339673
79,7015.29,0.97254,0.77336,2.20252,0.90541,0.80795,0.8805,0.64175,1.0428,0.68675,2.33761,0.000325526,0.000325526,0.000325526
80,7111.41,0.95776,0.76125,2.17563,0.90065,0.80729,0.87954,0.64356,1.03743,0.68231,2.32865,0.000311379,0.000311379,0.000311379
81,7205.09,0.96495,0.76361,2.18249,0.91544,0.79019,0.87732,0.64484,1.03974,0.68537,2.32851,0.000297232,0.000297232,0.000297232
82,7301.62,0.96134,0.76503,2.19741,0.90697,0.7995,0.8795,0.6425,1.03158,0.6879,2.32705,0.000283085,0.000283085,0.000283085
83,7395.5,0.95507,0.76082,2.18493,0.91151,0.79516,0.87974,0.64497,1.0321,0.68148,2.32431,0.000268938,0.000268938,0.000268938
84,7486.52,0.94804,0.75264,2.17473,0.9224,0.79092,0.88023,0.64627,1.03094,0.6846,2.3241,0.000254791,0.000254791,0.000254791
85,7576.88,0.94522,0.74624,2.1719,0.89417,0.81432,0.88176,0.64769,1.03134,0.6848,2.32452,0.000240644,0.000240644,0.000240644
86,7668.21,0.94271,0.74818,2.17402,0.91397,0.80173,0.87979,0.64441,1.03153,0.67955,2.32583,0.000226497,0.000226497,0.000226497
87,7759.95,0.939,0.7422,2.16612,0.91199,0.80668,0.88078,0.64725,1.02639,0.67668,2.32233,0.000212349,0.000212349,0.000212349
88,7850.3,0.92829,0.74149,2.14745,0.91476,0.80448,0.88027,0.64663,1.02623,0.67844,2.33294,0.000198202,0.000198202,0.000198202
89,7940.5,0.93043,0.72575,2.15451,0.91403,0.8068,0.8814,0.64879,1.02457,0.67736,2.32411,0.000184055,0.000184055,0.000184055
90,8031.08,0.9297,0.72843,2.16039,0.92377,0.79877,0.88013,0.6493,1.02082,0.67689,2.32553,0.000169908,0.000169908,0.000169908
91,8144.11,0.8152,0.58311,2.05865,0.92288,0.79762,0.88119,0.64665,1.02189,0.67607,2.32214,0.000155761,0.000155761,0.000155761
92,8232.4,0.80459,0.56423,2.0427,0.92079,0.8001,0.88235,0.64912,1.02305,0.66987,2.3273,0.000141614,0.000141614,0.000141614
93,8320.34,0.79396,0.56153,2.03584,0.93142,0.79218,0.88169,0.6486,1.01725,0.67282,2.31836,0.000127467,0.000127467,0.000127467
94,8407.8,0.78786,0.55279,2.03896,0.91966,0.79955,0.8799,0.64911,1.01262,0.66931,2.32112,0.00011332,0.00011332,0.00011332
95,8495.09,0.78057,0.54453,2.02567,0.9151,0.8016,0.8807,0.6482,1.0131,0.66834,2.32683,9.91726e-05,9.91726e-05,9.91726e-05
96,8584.54,0.77743,0.54442,2.02203,0.9137,0.80399,0.88075,0.64993,1.01343,0.66519,2.33223,8.50255e-05,8.50255e-05,8.50255e-05
97,8674.81,0.76965,0.53987,2.00943,0.92302,0.79126,0.88061,0.65134,1.01215,0.66362,2.32876,7.08784e-05,7.08784e-05,7.08784e-05
98,8768.52,0.76818,0.53439,2.0207,0.91137,0.80151,0.88091,0.65192,1.01294,0.66494,2.33209,5.67313e-05,5.67313e-05,5.67313e-05
99,8857.73,0.77,0.53407,2.02403,0.9129,0.80132,0.88154,0.65194,1.01388,0.66416,2.33472,4.25842e-05,4.25842e-05,4.25842e-05
100,8947.77,0.75624,0.52253,1.99542,0.9154,0.79914,0.88109,0.65384,1.01314,0.66563,2.33383,2.84371e-05,2.84371e-05,2.84371e-05
